Unnamed: 0,id_estudiante,carrera_alumno,codigo_materia,materia,nivel_materia,repite_materia,nota_final,ppa,ppac,fecha_inscripcion
,45,INF,ADM100,ADMINISTRACION,3,1,85,65,65,2/23/2017
,46,SIS,ADM100,ADMINISTRACION,3,0,95,24,26,2/24/2017
,47,INF,ADM100,ADMINISTRACION,3,0,80,23,28,4/19/2017
,48,RED,ADM100,ADMINISTRACION,3,0,100,56,56,2/23/2017
,49,RED,ADM100,ADMINISTRACION,3,0,70,40,34,2/23/2017
,50,SIS,ADM100,ADMINISTRACION,3,0,90,19,19,3/30/2017
,51,SIS,ADM100,ADMINISTRACION,3,0,93,37,28,3/1/2017
,52,RED,ADM100,ADMINISTRACION,3,0,100,47,47,2/22/2017
,53,INF,ADM100,ADMINISTRACION,3,0,85,29,12,3/29/2017
,54,INF,ADM100,ADMINISTRACION,3,0,75,35,28,3/1/2017
,55,SIS,ADM100,ADMINISTRACION,3,0,98,62,62,2/22/2017
,56,SIS,ADM100,ADMINISTRACION,3,0,99,40,40,2/23/2017
,57,SIS,ADM100,ADMINISTRACION,3,2,0,29,29,3/27/2017
,58,RED,ADM100,ADMINISTRACION,3,1,0,15,15,3/1/2017
,59,INF,ADM100,ADMINISTRACION,3,0,89,23,23,2/23/2017
,60,SIS,ADM100,ADMINISTRACION,3,0,98,26,26,2/23/2017
,61,SIS,ADM100,ADMINISTRACION,3,0,92,44,44,3/27/2017
,62,SIS,ADM100,ADMINISTRACION,3,0,92,51,51,2/23/2017
,63,SIS,ADM100,ADMINISTRACION,3,4,0,2,2,3/27/2017
,64,INF,ADM100,ADMINISTRACION,3,0,100,70,70,2/22/2017
,65,INF,ADM100,ADMINISTRACION,3,0,88,44,44,2/22/2017
,66,SIS,ADM100,ADMINISTRACION,3,0,92,50,50,2/23/2017
,67,INF,ADM100,ADMINISTRACION,3,0,82,25,24,2/24/2017
,68,SIS,ADM100,ADMINISTRACION,3,0,100,50,50,2/22/2017
,69,SIS,ADM100,ADMINISTRACION,3,1,0,30,30,3/27/2017
,70,RED,ADM100,ADMINISTRACION,3,2,0,9,9,3/29/2017
,71,SIS,ADM100,ADMINISTRACION,3,1,0,20,1,3/27/2017
,72,SIS,ADM100,ADMINISTRACION,3,0,95,33,33,2/24/2017
,73,SIS,ADM100,ADMINISTRACION,3,1,0,8,8,3/29/2017
,74,RED,ADM100,ADMINISTRACION,3,0,85,38,38,2/24/2017
,75,SIS,ADM100,ADMINISTRACION,3,0,70,36,36,2/23/2017
,76,SIS,ADM100,ADMINISTRACION,3,1,0,22,22,2/25/2017
,77,SIS,ADM100,ADMINISTRACION,3,0,65,34,24,2/24/2017
,78,SIS,ADM100,ADMINISTRACION,3,0,80,53,53,2/23/2017
,79,SIS,ADM100,ADMINISTRACION,3,2,0,15,15,2/24/2017
,80,RED,ADM100,ADMINISTRACION,3,0,70,41,41,2/22/2017
,81,INF,ADM100,ADMINISTRACION,3,1,0,12,12,3/31/2017
,82,INF,ADM100,ADMINISTRACION,3,0,93,47,47,2/22/2017
,83,RED,ADM100,ADMINISTRACION,3,2,0,12,12,2/24/2017
,84,SIS,ADM100,ADMINISTRACION,3,0,83,34,34,2/23/2017
,85,INF,ADM100,ADMINISTRACION,3,1,75,41,41,2/23/2017
,86,SIS,ADM100,ADMINISTRACION,3,0,88,57,57,2/22/2017
,87,SIS,ADM100,ADMINISTRACION,3,0,85,59,58,2/23/2017
,88,RED,ADM100,ADMINISTRACION,3,0,88,35,35,2/24/2017
,89,INF,ADM100,ADMINISTRACION,3,0,85,33,33,3/29/2017
,90,SIS,ADM100,ADMINISTRACION,3,0,100,42,42,2/22/2017
,91,SIS,ADM100,ADMINISTRACION,3,0,80,53,53,2/24/2017
,92,INF,ADM100,ADMINISTRACION,3,0,80,62,71,2/22/2017
,93,RED,ADM100,ADMINISTRACION,3,0,85,33,33,3/3/2017
,94,SIS,ADM100,ADMINISTRACION,3,0,88,58,54,3/30/2017
,95,RED,ADM100,ADMINISTRACION,3,0,78,32,32,4/21/2017
,96,SIS,ADM100,ADMINISTRACION,3,0,85,43,43,2/22/2017
,97,SIS,ADM100,ADMINISTRACION,3,0,88,58,58,2/22/2017
,98,SIS,ADM100,ADMINISTRACION,3,1,0,16,16,2/24/2017
,99,SIS,ADM100,ADMINISTRACION,3,0,83,50,50,2/23/2017
,100,SIS,ADM100,ADMINISTRACION,3,0,78,22,22,3/1/2017
,101,SIS,ADM100,ADMINISTRACION,3,0,83,37,37,2/23/2017
,102,INF,ADM100,ADMINISTRACION,3,1,0,41,41,2/23/2017
,103,INF,ADM100,ADMINISTRACION,3,0,95,50,50,3/1/2017
,104,SIS,ADM100,ADMINISTRACION,3,2,0,3,3,3/1/2017
,105,RED,ADM100,ADMINISTRACION,3,1,0,10,10,2/24/2017
,106,RED,ADM100,ADMINISTRACION,3,0,85,23,21,3/31/2017
,107,SIS,ADM100,ADMINISTRACION,3,0,85,27,19,3/1/2017
,108,RED,ADM100,ADMINISTRACION,3,4,0,12,10,3/29/2017
,109,SIS,ADM100,ADMINISTRACION,3,0,88,59,59,2/22/2017
,110,SIS,ADM100,ADMINISTRACION,3,0,85,42,42,2/23/2017
,111,SIS,ADM100,ADMINISTRACION,3,0,83,76,76,2/22/2017
,112,SIS,ADM100,ADMINISTRACION,3,1,0,29,29,3/30/2017
,113,SIS,ADM100,ADMINISTRACION,3,0,90,35,35,2/22/2017
,114,SIS,ADM100,ADMINISTRACION,3,0,85,53,53,3/29/2017
,115,SIS,ADM100,ADMINISTRACION,3,0,70,58,58,3/29/2017
,116,SIS,ADM100,ADMINISTRACION,3,1,0,6,6,2/24/2017
,117,SIS,ADM100,ADMINISTRACION,3,0,85,27,27,3/3/2017
,118,SIS,ADM100,ADMINISTRACION,3,0,83,45,45,2/23/2017
,119,RED,ADM100,ADMINISTRACION,3,0,85,40,40,2/24/2017
,120,INF,ADM100,ADMINISTRACION,3,5,0,5,5,3/31/2017
,121,SIS,ADM100,ADMINISTRACION,3,0,85,38,38,2/22/2017
,122,INF,ADM100,ADMINISTRACION,3,0,75,26,26,4/6/2017
,123,SIS,ADM100,ADMINISTRACION,3,0,89,81,81,2/22/2017
,124,SIS,ADM100,ADMINISTRACION,3,0,85,41,41,2/24/2017
,125,INF,ADM100,ADMINISTRACION,3,0,83,44,41,3/29/2017
,126,RED,ADM100,ADMINISTRACION,3,0,88,42,42,2/24/2017
,127,SIS,ADM100,ADMINISTRACION,3,0,88,20,7,2/26/2017
,128,RED,ADM100,ADMINISTRACION,3,0,90,41,41,2/22/2017
,129,SIS,ADM100,ADMINISTRACION,3,0,88,33,33,2/23/2017
,130,SIS,ADM100,ADMINISTRACION,3,0,85,50,50,2/23/2017
,131,SIS,ADM100,ADMINISTRACION,3,0,88,57,57,2/22/2017
,132,SIS,ADM100,ADMINISTRACION,3,1,0,15,15,3/1/2017
,133,SIS,ADM100,ADMINISTRACION,3,0,88,48,48,2/22/2017
,134,SIS,ADM100,ADMINISTRACION,3,0,88,47,47,2/23/2017
,135,SIS,ADM100,ADMINISTRACION,3,0,100,71,71,2/22/2017
,136,SIS,ADM100,ADMINISTRACION,3,0,88,11,11,3/30/2017
,137,SIS,ADM100,ADMINISTRACION,3,1,0,27,27,2/23/2017
,138,SIS,ADM100,ADMINISTRACION,3,0,83,8,8,3/1/2017
,139,SIS,ADM100,ADMINISTRACION,3,0,100,60,60,3/1/2017
,140,RED,ADM100,ADMINISTRACION,3,0,85,35,35,2/24/2017
,141,INF,ADM100,ADMINISTRACION,3,1,20,24,24,3/2/2017
,142,SIS,ADM100,ADMINISTRACION,3,4,20,13,13,2/24/2017
,143,SIS,ADM100,ADMINISTRACION,3,3,20,1,1,2/24/2017
,144,SIS,ADM100,ADMINISTRACION,3,3,10,24,21,2/24/2017
,145,INF,ADM100,ADMINISTRACION,3,0,56,29,29,2/24/2017
,146,SIS,ADM100,ADMINISTRACION,3,0,70,53,53,2/22/2017
,147,SIS,ADM100,ADMINISTRACION,3,0,78,61,61,3/27/2017
,148,SIS,ADM100,ADMINISTRACION,3,2,15,9,9,3/3/2017
,149,SIS,ADM100,ADMINISTRACION,3,2,53,36,36,3/2/2017
,150,RED,ADM100,ADMINISTRACION,3,1,30,27,27,2/24/2017
,151,INF,ADM100,ADMINISTRACION,3,2,20,11,11,3/3/2017
,152,SIS,ADM100,ADMINISTRACION,3,2,20,29,29,2/25/2017
,153,RED,ADM100,ADMINISTRACION,3,1,20,3,3,2/24/2017
,154,SIS,ADM100,ADMINISTRACION,3,1,10,4,4,2/24/2017
,155,SIS,ADM100,ADMINISTRACION,3,2,30,55,14,3/27/2017
,156,RED,ADM100,ADMINISTRACION,3,6,40,9,9,2/24/2017
,157,SIS,ADM100,ADMINISTRACION,3,1,10,13,13,3/1/2017
,158,RED,ADM100,ADMINISTRACION,3,0,52,20,20,3/2/2017
,159,SIS,ADM100,ADMINISTRACION,3,3,10,4,4,2/24/2017
,160,RED,ADM100,ADMINISTRACION,3,0,54,67,50,3/28/2017
,161,INF,ADM100,ADMINISTRACION,3,1,3,9,9,3/3/2017
,162,SIS,ADM100,ADMINISTRACION,3,1,5,3,3,3/8/2017
,163,SIS,ADM100,ADMINISTRACION,3,0,70,34,34,2/24/2017
,164,SIS,ADM100,ADMINISTRACION,3,4,20,9,9,2/24/2017
,165,SIS,ADM100,ADMINISTRACION,3,2,20,9,9,2/24/2017
,166,SIS,ADM100,ADMINISTRACION,3,0,70,28,28,2/24/2017
,167,INF,ADM100,ADMINISTRACION,3,2,20,23,17,3/2/2017
,168,SIS,ADM100,ADMINISTRACION,3,0,68,27,27,2/24/2017
,169,SIS,ADM100,ADMINISTRACION,3,1,30,7,7,3/3/2017
,170,SIS,ADM100,ADMINISTRACION,3,1,30,7,7,3/3/2017
,171,SIS,ADM100,ADMINISTRACION,3,2,35,33,33,2/24/2017
,172,INF,ADM100,ADMINISTRACION,3,4,4,6,2,3/3/2017
,173,SIS,ADM100,ADMINISTRACION,3,1,40,44,44,2/22/2017
,174,INF,ADM100,ADMINISTRACION,3,1,35,46,35,4/19/2017
,175,SIS,ADM100,ADMINISTRACION,3,4,35,29,27,2/24/2017
,176,SIS,ADM100,ADMINISTRACION,3,2,35,13,13,3/3/2017
,177,SIS,ADM100,ADMINISTRACION,3,2,20,9,9,3/3/2017
,178,SIS,ADM100,ADMINISTRACION,3,0,100,51,51,2/22/2017
,179,SIS,ADM100,ADMINISTRACION,3,0,69,50,50,3/3/2017
,180,RED,ADM100,ADMINISTRACION,3,1,20,32,21,2/26/2017
,181,RED,ADM100,ADMINISTRACION,3,4,25,2,2,2/24/2017
,182,SIS,ADM100,ADMINISTRACION,3,1,31,16,16,3/8/2017
,74,RED,ADM200,CONTABILIDAD,4,0,94,38,38,3/29/2017
,183,INF,ADM200,CONTABILIDAD,4,1,92,19,19,2/24/2017
,184,INF,ADM200,CONTABILIDAD,4,0,83,40,40,4/19/2017
,185,RED,ADM200,CONTABILIDAD,4,1,84,32,32,4/21/2017
,186,INF,ADM200,CONTABILIDAD,4,0,94,24,24,2/24/2017
,187,SIS,ADM200,CONTABILIDAD,4,5,0,25,25,3/27/2017
,188,SIS,ADM200,CONTABILIDAD,4,0,90,18,14,3/8/2017
,80,RED,ADM200,CONTABILIDAD,4,0,92,41,41,4/21/2017
,189,SIS,ADM200,CONTABILIDAD,4,2,0,30,30,2/24/2017
,190,SIS,ADM200,CONTABILIDAD,4,0,93,35,35,2/24/2017
,191,INF,ADM200,CONTABILIDAD,4,4,0,18,18,3/27/2017
,192,SIS,ADM200,CONTABILIDAD,4,1,0,26,26,3/8/2017
,193,SIS,ADM200,CONTABILIDAD,4,0,93,28,28,2/24/2017
,194,INF,ADM200,CONTABILIDAD,4,2,92,8,8,3/28/2017
,195,SIS,ADM200,CONTABILIDAD,4,0,93,59,56,2/22/2017
,196,INF,ADM200,CONTABILIDAD,4,4,0,21,15,3/7/2017
,197,SIS,ADM200,CONTABILIDAD,4,0,93,31,32,2/23/2017
,198,INF,ADM200,CONTABILIDAD,4,0,92,43,43,2/23/2017
,199,SIS,ADM200,CONTABILIDAD,4,0,92,42,42,2/23/2017
,95,RED,ADM200,CONTABILIDAD,4,0,93,32,32,4/21/2017
,25,RED,ADM200,CONTABILIDAD,4,0,94,42,42,2/24/2017
,200,SIS,ADM200,CONTABILIDAD,4,2,85,27,27,2/24/2017
,201,SIS,ADM200,CONTABILIDAD,4,0,87,32,32,3/3/2017
,202,SIS,ADM200,CONTABILIDAD,4,0,92,10,10,3/27/2017
,203,SIS,ADM200,CONTABILIDAD,4,1,0,27,27,2/24/2017
,204,SIS,ADM200,CONTABILIDAD,4,0,95,47,47,2/24/2017
,160,RED,ADM200,CONTABILIDAD,4,0,92,67,50,3/28/2017
,205,INF,ADM200,CONTABILIDAD,4,1,91,34,34,2/23/2017
,36,INF,ADM200,CONTABILIDAD,4,0,95,64,64,2/22/2017
,111,SIS,ADM200,CONTABILIDAD,4,0,97,76,76,2/22/2017
,206,SIS,ADM200,CONTABILIDAD,4,0,94,40,40,2/23/2017
,207,SIS,ADM200,CONTABILIDAD,4,0,92,52,52,2/22/2017
,208,INF,ADM200,CONTABILIDAD,4,0,93,63,63,2/22/2017
,209,RED,ADM200,CONTABILIDAD,4,0,94,40,40,2/23/2017
,210,SIS,ADM200,CONTABILIDAD,4,3,0,14,14,2/24/2017
,211,SIS,ADM200,CONTABILIDAD,4,2,0,23,23,2/24/2017
,212,SIS,ADM200,CONTABILIDAD,4,5,0,16,16,3/3/2017
,213,INF,ADM200,CONTABILIDAD,4,0,97,53,53,3/27/2017
,214,SIS,ADM200,CONTABILIDAD,4,0,92,61,61,2/22/2017
,215,SIS,ADM200,CONTABILIDAD,4,2,93,11,11,2/24/2017
,216,RED,ADM200,CONTABILIDAD,4,1,97,35,35,2/23/2017
,217,SIS,ADM200,CONTABILIDAD,4,2,92,10,10,3/7/2017
,218,SIS,ADM200,CONTABILIDAD,4,0,92,31,31,3/27/2017
,219,SIS,ADM200,CONTABILIDAD,4,0,98,79,79,2/22/2017
,220,SIS,ADM200,CONTABILIDAD,4,2,96,31,31,2/24/2017
,221,SIS,ADM200,CONTABILIDAD,4,0,96,44,44,2/23/2017
,222,INF,ADM200,CONTABILIDAD,4,0,93,33,33,2/23/2017
,223,SIS,ADM200,CONTABILIDAD,4,1,90,40,40,2/24/2017
,224,SIS,ADM200,CONTABILIDAD,4,2,0,20,20,3/27/2017
,225,INF,ADM200,CONTABILIDAD,4,0,90,36,36,2/24/2017
,226,INF,ADM200,CONTABILIDAD,4,3,0,16,17,2/24/2017
,227,RED,ADM200,CONTABILIDAD,4,3,0,28,28,2/24/2017
,228,SIS,ADM200,CONTABILIDAD,4,0,93,66,66,2/22/2017
,229,RED,ADM200,CONTABILIDAD,4,1,0,14,14,3/3/2017
,230,RED,ADM200,CONTABILIDAD,4,1,0,37,37,2/23/2017
,231,SIS,ADM200,CONTABILIDAD,4,0,90,32,32,2/23/2017
,232,SIS,ADM200,CONTABILIDAD,4,0,94,30,30,2/24/2017
,233,SIS,ADM200,CONTABILIDAD,4,4,0,17,17,4/20/2017
,234,INF,ADM200,CONTABILIDAD,4,2,0,32,32,2/23/2017
,235,SIS,ADM200,CONTABILIDAD,4,0,100,52,52,2/24/2017
,236,SIS,ADM200,CONTABILIDAD,4,0,94,48,52,2/22/2017
,237,SIS,ADM200,CONTABILIDAD,4,1,93,21,21,2/24/2017
,238,RED,ADM200,CONTABILIDAD,4,2,0,25,25,2/24/2017
,239,SIS,ADM200,CONTABILIDAD,4,1,94,32,32,2/24/2017
,240,INF,ADM200,CONTABILIDAD,4,4,0,23,23,2/24/2017
,241,INF,ADM200,CONTABILIDAD,4,0,93,35,35,2/23/2017
,242,INF,ADM200,CONTABILIDAD,4,0,92,11,11,3/27/2017
,243,SIS,ADM200,CONTABILIDAD,4,0,93,47,47,2/23/2017
,244,SIS,ADM200,CONTABILIDAD,4,0,90,28,28,2/23/2017
,245,SIS,ADM200,CONTABILIDAD,4,0,91,48,48,2/23/2017
,246,RED,ADM200,CONTABILIDAD,4,4,0,13,13,3/3/2017
,247,INF,ADM200,CONTABILIDAD,4,1,0,24,24,2/23/2017
,248,SIS,ADM200,CONTABILIDAD,4,0,93,60,60,2/23/2017
,249,INF,ADM200,CONTABILIDAD,4,0,85,12,12,2/24/2017
,70,RED,ADM200,CONTABILIDAD,4,2,0,9,9,3/28/2017
,250,SIS,ADM200,CONTABILIDAD,4,0,94,29,34,2/23/2017
,251,SIS,ADM200,CONTABILIDAD,4,0,95,19,19,2/24/2017
,252,RED,ADM200,CONTABILIDAD,4,1,0,35,14,2/24/2017
,253,INF,ADM200,CONTABILIDAD,4,0,72,41,41,3/1/2017
,254,INF,ADM200,CONTABILIDAD,4,2,0,53,22,3/31/2017
,255,SIS,ADM200,CONTABILIDAD,4,0,53,10,10,3/1/2017
,256,SIS,ADM200,CONTABILIDAD,4,0,68,42,42,3/27/2017
,257,INF,ADM200,CONTABILIDAD,4,0,88,58,58,2/22/2017
,258,SIS,ADM200,CONTABILIDAD,4,0,52,30,30,3/27/2017
,259,SIS,ADM200,CONTABILIDAD,4,0,93,41,41,3/1/2017
,260,SIS,ADM200,CONTABILIDAD,4,0,52,27,27,3/2/2017
,261,INF,ADM200,CONTABILIDAD,4,0,80,44,44,2/22/2017
,262,INF,ADM200,CONTABILIDAD,4,3,35,31,31,2/23/2017
,263,INF,ADM200,CONTABILIDAD,4,0,54,52,52,2/22/2017
,264,SIS,ADM200,CONTABILIDAD,4,0,59,46,46,2/22/2017
,265,SIS,ADM200,CONTABILIDAD,4,0,83,56,56,2/22/2017
,266,SIS,ADM200,CONTABILIDAD,4,0,90,75,75,2/22/2017
,267,INF,ADM200,CONTABILIDAD,4,0,80,57,59,3/2/2017
,268,SIS,ADM200,CONTABILIDAD,4,0,75,53,53,2/22/2017
,269,SIS,ADM200,CONTABILIDAD,4,4,0,11,11,3/2/2017
,270,SIS,ADM200,CONTABILIDAD,4,10,0,10,10,3/29/2017
,271,RED,ADM200,CONTABILIDAD,4,0,88,44,44,2/23/2017
,272,SIS,ADM200,CONTABILIDAD,4,0,75,47,44,2/22/2017
,273,SIS,ADM200,CONTABILIDAD,4,0,70,40,40,2/23/2017
,274,INF,ADM200,CONTABILIDAD,4,0,78,42,42,2/22/2017
,275,RED,ADM200,CONTABILIDAD,4,0,75,37,37,3/27/2017
,276,SIS,ADM200,CONTABILIDAD,4,0,83,37,37,2/22/2017
,277,SIS,ADM200,CONTABILIDAD,4,0,70,39,39,2/23/2017
,278,RED,ADM200,CONTABILIDAD,4,1,0,8,8,3/27/2017
,279,SIS,ADM200,CONTABILIDAD,4,0,88,30,30,2/23/2017
,280,INF,ADM200,CONTABILIDAD,4,0,55,38,38,2/22/2017
,281,SIS,ADM200,CONTABILIDAD,4,0,83,58,58,2/22/2017
,282,RED,ADM200,CONTABILIDAD,4,0,87,44,44,2/24/2017
,283,SIS,ADM200,CONTABILIDAD,4,0,83,53,53,2/22/2017
,284,SIS,ADM200,CONTABILIDAD,4,3,0,26,14,3/2/2017
,285,SIS,ADM200,CONTABILIDAD,4,0,80,52,52,3/27/2017
,286,SIS,ADM200,CONTABILIDAD,4,0,80,50,50,2/22/2017
,287,SIS,ADM200,CONTABILIDAD,4,1,25,11,11,3/28/2017
,288,SIS,ADM200,CONTABILIDAD,4,5,30,7,5,3/28/2017
,289,SIS,ADM200,CONTABILIDAD,4,0,90,37,37,2/23/2017
,290,INF,ADM200,CONTABILIDAD,4,0,75,21,21,3/29/2017
,291,SIS,ADM200,CONTABILIDAD,4,1,52,29,21,2/24/2017
,292,INF,ADM200,CONTABILIDAD,4,0,60,25,25,3/1/2017
,293,RED,ADM200,CONTABILIDAD,4,0,58,35,35,2/23/2017
,294,SIS,ADM200,CONTABILIDAD,4,3,0,12,12,3/1/2017
,295,RED,ADM200,CONTABILIDAD,4,2,0,22,20,4/21/2017
,296,RED,ADM200,CONTABILIDAD,4,1,78,29,29,3/3/2017
,297,SIS,ADM200,CONTABILIDAD,4,0,80,52,52,2/22/2017
,298,SIS,ADM200,CONTABILIDAD,4,3,52,12,12,3/27/2017
,299,RED,ADM200,CONTABILIDAD,4,3,0,10,10,3/30/2017
,300,SIS,ADM200,CONTABILIDAD,4,0,68,44,48,2/22/2017
,301,SIS,ADM200,CONTABILIDAD,4,3,0,23,23,3/29/2017
,302,INF,ADM200,CONTABILIDAD,4,0,75,43,43,2/23/2017
,303,SIS,ADM200,CONTABILIDAD,4,0,93,71,71,2/22/2017
,304,INF,ADM200,CONTABILIDAD,4,0,72,64,64,2/23/2017
,305,SIS,ADM200,CONTABILIDAD,4,0,88,71,71,2/23/2017
,306,SIS,ADM200,CONTABILIDAD,4,1,0,20,20,3/1/2017
,307,RED,ADM200,CONTABILIDAD,4,0,63,38,38,2/24/2017
,308,INF,ADM200,CONTABILIDAD,4,0,95,39,39,2/22/2017
,309,SIS,ADM200,CONTABILIDAD,4,4,69,19,19,3/1/2017
,310,INF,ADM200,CONTABILIDAD,4,3,0,7,7,3/2/2017
,311,SIS,ADM200,CONTABILIDAD,4,2,0,23,23,3/29/2017
,312,SIS,ADM200,CONTABILIDAD,4,1,40,32,32,2/23/2017
,313,SIS,ADM200,CONTABILIDAD,4,0,83,39,46,2/22/2017
,314,SIS,ADM200,CONTABILIDAD,4,1,30,31,31,2/23/2017
,315,SIS,ADM200,CONTABILIDAD,4,1,30,15,15,3/7/2017
,64,INF,ADM200,CONTABILIDAD,4,0,93,70,70,2/22/2017
,316,SIS,ADM200,CONTABILIDAD,4,0,90,51,51,2/22/2017
,317,SIS,ADM200,CONTABILIDAD,4,5,0,7,7,3/3/2017
,318,SIS,ADM200,CONTABILIDAD,4,7,0,19,14,3/31/2017
,319,SIS,ADM200,CONTABILIDAD,4,0,88,68,68,2/22/2017
,320,SIS,ADM200,CONTABILIDAD,4,0,70,40,46,2/23/2017
,321,SIS,ADM200,CONTABILIDAD,4,0,55,36,26,3/27/2017
,322,SIS,ADM200,CONTABILIDAD,4,4,0,13,13,3/2/2017
,323,SIS,ADM200,CONTABILIDAD,4,0,62,46,46,2/23/2017
,324,SIS,ADM200,CONTABILIDAD,4,0,90,49,49,2/24/2017
,325,RED,ADM200,CONTABILIDAD,4,2,0,24,24,2/24/2017
,326,INF,ADM200,CONTABILIDAD,4,0,85,59,59,2/22/2017
,327,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,0,51,48,48,2/22/2017
,328,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,0,51,52,52,2/24/2017
,329,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,4,0,34,22,2/24/2017
,330,INF,ADM320,FINANZAS PARA LA EMPRESA,6,5,0,12,12,2/25/2017
,331,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,0,66,55,55,2/22/2017
,332,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,3,51,34,34,2/23/2017
,333,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,3,30,37,37,2/22/2017
,334,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,2,30,39,39,2/23/2017
,335,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,1,51,47,19,2/24/2017
,336,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,0,51,43,43,2/22/2017
,337,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,0,55,51,51,3/3/2017
,338,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,9,30,18,18,3/3/2017
,339,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,4,30,24,24,3/28/2017
,340,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,2,0,33,33,2/24/2017
,341,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,0,51,50,50,4/7/2017
,342,RED,ADM320,FINANZAS PARA LA EMPRESA,6,0,51,56,43,2/22/2017
,343,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,0,51,55,55,2/22/2017
,344,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,4,0,35,35,2/24/2017
,345,SIS,ADM320,FINANZAS PARA LA EMPRESA,6,0,62,64,64,2/22/2017
